,latitude,longitude
0,38.183333000000005,127.4
1,38.2493,140.3301
2,38.4176,140.45058999999998
3,33.981291,134.290289
4,36.116667,136.666667
5,34.883333,135.6
6,36.45,137.433333
7,36.483333,137.633333
8,35.641110999999995,139.69833300000002
9,35.498173,137.994876
10,36.0,138.688889
11,36.14605,137.25186000000002
12,36.30284,137.89966
13,35.8925,137.480556
14,48.21512,135.005799
15,43.019079999999995,134.10775
16,43.18613,134.058008
17,43.244516,134.57658
18,48.836966,132.801128
19,48.077277,137.391952
20,38.18,127.4
21,37.600359999999995,128.279972
22,37.459326000000004,128.14281499999998
23,37.456873,128.144531
24,37.459871,128.143158
25,35.066666999999995,135.75
26,43.49187,133.67668
27,42.786504,128.51449399999998
28,43.175,133.86026999999999
29,36.134203,128.90643300000002
30,36.364856,127.386206
31,36.367525,127.38503100000001
32,36.367483,127.38503100000001
33,36.36755,127.38503100000001
34,36.36755,127.385058
35,36.367567,127.385033
36,36.367639000000004,127.385033
37,36.367711,127.38503600000001
38,36.367733,127.385069
39,36.367825,127.385033
40,36.36485,127.386117
41,36.3648,127.386075
42,36.364816999999995,127.386156
43,36.364936,127.38601899999999
44,36.364946999999994,127.38599199999999
45,36.364931,127.385931
46,36.364933,127.38596899999999
47,36.364958,127.38594199999999
48,35.434,129.225
49,35.435,129.224
50,36.031,127.28399999999999
51,36.07,127.164
52,44.45,135.383333
53,47.775321999999996,128.91852
54,41.292753000000005,123.79908400000001
55,46.986064,128.025012
56,34.98,128.35
57,38.65,128.1
58,48.277279,135.038635
59,48.286625,135.054382
60,35.923028,137.449722
61,42.333333,129.166667
62,35.854444,138.196944
63,35.76202,137.93719
64,35.646755999999996,139.272852
65,37.787611,127.1755
66,37.787222,127.17686100000002
67,37.65,128.125
68,34.57366,135.77455
69,40.916667,124.83333300000001
70,47.251940000000005,128.81111
71,47.85167,128.80917
72,47.185,128.88278
73,47.18139,128.89444
74,47.18306,128.89167
75,47.185,128.88306
76,42.39583,127.99056000000002
77,42.78028,127.98416999999999
78,42.76722,127.97443999999999
79,42.24889,128.16583
80,42.21889,128.18444
81,42.43972,128.98778000000001
82,42.4,128.08333000000002
83,48.1,129.21667
84,43.60028,134.30083
85,37.600359999999995,128.27997
86,37.45933,128.14282
87,37.45687,128.14453
88,37.45987,128.14316000000002
89,35.06667,135.75
90,42.7865,128.51449
91,44.45,135.38333
92,38.18333,127.4
93,47.77532,128.91852
94,41.29275,123.79908
95,46.986059999999995,128.02501
96,40.65,140.88
97,48.27728,135.03864
98,48.28663,135.05438
99,35.4982,137.995
100,35.92303,137.44971999999999
101,42.33333,129.16666999999998
102,35.8544,138.197
103,35.64676,139.27285
104,34.5737,135.775
105,40.91667,124.83333
106,43.77812,132.9243
107,48.89522,131.16737
108,44.063790000000004,134.14933
109,46.56524,134.67477
110,44.581990000000005,135.14272
111,42.90056,133.70023999999998
112,48.60188,135.5848
113,43.2225,131.9957
114,43.21396,132.00777
115,50.28505,134.7076
116,50.482479999999995,137.09087
117,48.5806,130.64683
118,47.98404,139.53003999999999
119,43.49759,131.55366
120,43.03443,133.70946999999998
121,48.5947,130.60539
122,45.0216,135.9339
123,45.0816,135.8908
124,45.1082,135.8708
125,45.1307,135.8638
126,45.1079,136.4328
127,45.1438,136.2936
128,45.1584,136.2547
129,45.1812,136.0527
130,45.1836,136.0443
131,45.7898,135.1229
132,45.8133,135.2459
133,45.7949,135.2918
134,43.586999999999996,133.3922
135,44.3043,133.7124
136,44.1162,133.9959
137,43.7183,133.881
138,43.7364,133.8753
139,43.5883,134.16513999999998
140,43.6364,134.1888
141,43.5779,134.6234
142,43.2873,131.6015
143,43.3459,131.6079
144,43.113,132.7106
145,43.2207,131.9858
146,43.1969,132.0349
147,43.6338,132.4135
148,43.6438,132.4372
149,43.7189,132.545
150,45.768,135.437
151,45.75899999999999,135.446
152,45.778,135.423
153,45.8,135.329
154,45.817,135.447
155,45.81100000000001,135.6
156,45.806999999999995,135.579
157,45.864,135.781
158,45.781000000000006,135.668
159,45.809,135.678
160,45.784,135.46200000000002
161,45.773,135.463
162,45.79,135.297
163,45.818999999999996,135.30100000000002
164,45.784,135.415
165,45.778999999999996,135.31799999999998
166,46.488,135.49
167,46.513000000000005,135.501
168,46.445,135.457
169,46.449,135.447
170,46.456,135.454
171,46.468999999999994,135.558
172,46.453,135.459
173,45.391999999999996,136.506
174,45.394,136.50799999999998
175,45.394,136.514
176,45.416000000000004,136.512
177,45.394,136.513
178,45.402,136.506
179,45.412,136.514
180,45.323,136.493
181,49.032,132.955
182,49.062,132.934
183,46.74100000000001,135.082
184,49.073,132.908
185,49.075,132.92
186,49.066,132.878
187,49.053999999999995,132.873
188,49.053000000000004,132.87
189,43.741242,135.26539
190,43.381168,131.49946699999998
191,43.066681,132.683111
192,47.334243,137.929038
193,48.14971,137.462924
194,47.95684,138.178297
195,44.348938000000004,133.95181399999998
196,45.798206,135.300731
197,47.185385,138.615219
198,47.003782,138.54111899999998
199,43.116766999999996,131.50548
200,49.238531,131.614768
201,47.137464,136.697574
202,50.732019,137.362973
203,48.589634999999994,130.632165
204,46.776314,136.87018
205,49.863157,136.76248
206,49.358326,132.006418
207,49.794933,139.892727
208,44.189299,135.007531
209,43.324674,131.32241100000002
210,47.732929,136.634289
211,50.636466999999996,137.462564
212,49.85816,136.95160800000002
213,50.777314000000004,137.498222
214,50.718838,137.53438899999998
215,50.896446000000005,137.739002
216,50.28504583,134.70759669999998
217,43.22184346,132.00296740000002
218,48.594696,130.605392
219,43.214763,132.5960493
220,43.16149419,132.7983633
221,43.5590929,134.25464019999998
222,43.15986638,132.8013674
223,43.16233938,132.80175359999998
224,43.16083681,132.8009811
225,43.04049146,134.1691499
226,43.2941166,134.2326186
227,43.07413753,134.1839986
228,43.45817745,131.7436599
229,43.17520758,132.9272172
230,43.25272161,132.1118304
231,43.39148982,131.48949869999998
232,43.75332586,131.6303662
233,43.103312200000005,131.490252
234,44.411276,132.8911675
235,44.2638889,133.7525
236,43.79660398,132.9313969
237,48.26091607,135.20006819999998
238,50.49444171,137.0775604
239,49.23933961,131.603164
240,49.25166663,131.5875428
241,48.594696,130.6053919
242,44.03798977,133.8920134
243,44.5573954,135.6227188
244,42.9064506,133.7008772
245,45.682944899999995,136.21807900000002
246,46.562889,134.664673
247,44.17255233,133.9035617
248,45.0432559,136.6092251
249,43.17410827,132.7899948
250,38.6566951,128.104958
251,39.03918597,125.76411200000001
252,41.387384000000004,128.1744945
253,43.0418972,133.7694745
254,43.36567115,133.94264909999998
255,45.03767623,136.59051399999998
256,45.04662163,136.604204
257,43.1593655,132.78261329999998
